Transect,Waypoint,Type,daylength,long,lat,on_off,speed,mode,distance_to_next,distance_cum,time_to_next,time_cum,leg,Region
1,1.1,Compulsory,14.103179024352235,-117.326499,32.483823,1,9.5,survey,61.70614293469664,61.70614293469664,0.460561654616627,0.460561654616627,1,Mexico
1,1.2,Compulsory,14.103179024352235,-118.369432,31.958405,1,10,transit,15.198824828078292,76.90496776277493,0.11344082741415352,0.5740024820307805,1,Mexico
2,2.2,Compulsory,14.085300709509477,-118.490524,32.190366,1,9.5,survey,70.80211951726095,147.7070872800359,0.529122866435914,1.1031253484666945,1,S. CA Bight
2,2.1,Compulsory,14.085300709509477,-117.289604,32.792232,1,10,transit,16.419166875396225,164.12625415543212,0.12270475376773517,1.2258301022344298,1,S. CA Bight
3,3.1,Compulsory,14.06742239466672,-117.325011,33.064789,1,9.5,survey,76.6430747395214,240.7693288949535,0.5735018009342638,1.7993319031686936,1,S. CA Bight
3,3.2,Compulsory,14.06742239466672,-118.628941,32.413791,1,10,transit,19.029307639181415,259.7986365341349,0.14239175866433715,1.9417236618330307,1,S. CA Bight
4,4.2,Compulsory,14.049544079823962,-118.976419,32.5331,1,9.5,survey,30.579368733836905,290.37800526797184,0.2291092793519023,2.170832941184933,1,S. CA Bight
4,4.104,Compulsory,14.049544079823962,-118.458309,32.795251,1,9.5,survey,3.0205704088948617,293.3985756768667,0.022630967814839836,2.1934639089997727,1,S. CA Bight
4,4.103,Compulsory,14.049544079823962,-118.401945,32.778587,1,9.5,survey,3.9527391293081364,297.3513148061748,0.029615039514526393,2.223078948514299,1,S. CA Bight
4,4.102,Compulsory,14.049544079823962,-118.33149,32.807151,1,9.5,survey,2.9920642937596056,300.34337909993445,0.0224173919378292,2.2454963404521284,1,S. CA Bight
4,4.101,Compulsory,14.049544079823962,-118.33149,32.857117,1,9.5,survey,48.23447952229816,348.5778586222326,0.3613863627943249,2.606882703246453,1,S. CA Bight
4,4.1,Compulsory,14.049544079823962,-117.50791,33.266803,1,10,transit,15.527051903698487,364.1049105259311,0.11633306439644034,2.723215767642894,1,S. CA Bight
5,5.1,Compulsory,14.031665764981206,-117.727497,33.449192,1,9.5,survey,47.58145817670715,411.6863687026382,0.3569479653240052,3.080163732966899,1,S. CA Bight
5,5.101,Compulsory,14.031665764981206,-118.539283,33.041758,1,9.5,survey,4.311091780526502,415.99746048316473,0.03234107356838622,3.112504806535285,1,S. CA Bight
5,5.102,Compulsory,14.031665764981206,-118.615861,33.073762,1,9.5,survey,2.088097862555182,418.0855583457199,0.01566455321037951,3.1281693597456646,1,S. CA Bight
5,5.103,Compulsory,14.031665764981206,-118.643089,33.047491,1,9.5,survey,3.062078869188091,421.147637214908,0.02297119222280128,3.151140551968466,1,S. CA Bight
5,5.104,Compulsory,14.031665764981206,-118.626639,32.998271,1,9.5,survey,35.83393122566677,456.9815684405748,0.2688200263442887,3.4199605783127547,1,S. CA Bight
5,5.2,Compulsory,14.031665764981206,-119.23824,32.695673,1,10,transit,17.74786227197009,474.72943071254485,0.13314142881673272,3.553102007129487,1,S. CA Bight
6,6.2,Compulsory,14.013787450138448,-119.54789,32.834944,1,9.5,survey,58.272278578130724,533.0017092906755,0.4377063718627519,3.9908083789922393,1,S. CA Bight
6,6.104,Compulsory,14.013787450138448,-118.552787,33.330031,1,9.5,survey,12.700374075084163,545.7020833657598,0.09539758515279886,4.086205964145038,1,S. CA Bight
6,6.103,Compulsory,14.013787450138448,-118.30809000000001,33.277533,1,9.5,survey,2.8550426503827167,548.5571260161424,0.021445366313192854,4.107651330458231,1,S. CA Bight
6,6.102,Compulsory,14.013787450138448,-118.269988,33.312874,1,9.5,survey,8.037697334719189,556.5948233508617,0.060374356801472163,4.1680256872597035,1,S. CA Bight
6,6.101,Compulsory,14.013787450138448,-118.36417,33.421355,1,9.5,survey,19.811605233785713,576.4064285846474,0.14881288426074832,4.316838571520451,1,S. CA Bight
6,6.1,Compulsory,14.013787450138448,-118.026178,33.59242,1,10,transit,18.23806967813152,594.6444982627788,0.13699342986719867,4.45383200138765,1,S. CA Bight
7,7.1,Compulsory,13.99590913529569,-118.357908,33.718023,1,9.5,survey,87.43478387006236,682.0792821328413,0.6575965427494982,5.111428544137148,1,S. CA Bight
7,7.2,Compulsory,13.99590913529569,-119.855827,32.975623,1,10,transit,18.220379521450734,700.299661654292,0.13703537711828523,5.248463921255434,1,S. CA Bight
8,8.2,Compulsory,13.978030820452933,-120.180861,33.108409,1,9.5,survey,97.94605449160295,798.2457161458949,0.7375939523634574,5.986057873618891,1,S. CA Bight
8,8.1,Compulsory,13.978030820452933,-118.499058,33.939492,1,10,transit,21.446375603899714,819.6920917497946,0.16150438144405072,6.147562255062941,1,S. CA Bight
9,9.1,Compulsory,13.960152505610175,-118.916291,34.025576,1,9.5,survey,94.3149262886845,914.0070180384791,0.7111589199162788,6.8587211749792205,1,S. CA Bight
9,9.2,Compulsory,13.960152505610175,-120.538076,33.22593,1,10,transit,15.240500218771526,929.2475182572507,0.11491731055793354,6.973638485537154,1,S. CA Bight
10,10.2,Compulsory,13.942274190767417,-120.668906,33.455507,1,9.5,survey,61.385202868548625,990.6327211257993,0.46345382493132736,7.437092310468481,1,S. CA Bight
10,10.103,Compulsory,13.942274190767417,-119.612072,33.975655,1,9.5,survey,5.8912723819513095,996.5239935077506,0.04447867876195522,7.481570989230437,1,S. CA Bight
10,10.102,Compulsory,13.942274190767417,-119.494725,33.986552,1,9.5,survey,2.860804041034525,999.3847975487852,0.021598862807957954,7.503169852038394,1,S. CA Bight
10,10.101,Compulsory,13.942274190767417,-119.493291,34.034302,1,9.5,survey,10.742058966218693,1010.1268565150039,0.08110176529338596,7.584271617331781,1,S. CA Bight
10,10.1,Compulsory,13.942274190767417,-119.309326,34.127766,1,10,transit,15.135654488276149,1025.26251100328,0.11427309249839818,7.698544709830179,1,S. CA Bight
11,11.1,Compulsory,13.92439587592466,-119.49887,34.325428,1,9.5,survey,31.7611151480296,1057.0236261513096,0.24010199857363257,7.9386467084038115,1,S. CA Bight
11,11.101,Compulsory,13.92439587592466,-120.048174,34.055546,1,9.5,survey,10.659898322105446,1067.683524473415,0.0805847930653661,8.019231501469177,1,S. CA Bight
11,11.102,Compulsory,13.92439587592466,-120.262006,34.056513,1,9.5,survey,3.302126702086856,1070.985651175502,0.024962826935363416,8.04419432840454,1,S. CA Bight
11,11.103,Compulsory,13.92439587592466,-120.278067,34.003026,1,9.5,survey,3.25724467819389,1074.2428958536957,0.02462353583722327,8.068817864241764,1,S. CA Bight
11,11.104,Compulsory,13.92439587592466,-120.239636,33.959064,1,9.5,survey,31.924155694063515,1106.1670515477592,0.24133452333760352,8.310152387579368,1,S. CA Bight
11,11.2,Compulsory,13.92439587592466,-120.790727,33.689669,1,10,transit,15.186468245496068,1121.3535197932554,0.11480394690250109,8.424956334481868,1,S. CA Bight
12,12.2,Compulsory,13.906517561081902,-120.946326,33.907433,1,9.5,survey,59.33502036996709,1180.6885401632223,0.4491269356586036,8.874083270140472,1,S. CA Bight
12,12.1,Compulsory,13.906517561081902,-119.91966,34.410425,1,10,transit,27.154496373605216,1207.8430365368276,0.20554161218090672,9.07962488232138,1,S. CA Bight
13,13.1,Compulsory,13.888639246239146,-120.46589,34.43573,1,9.5,survey,38.814966004278745,1246.6580025411065,0.29418187215811015,9.373806754479489,1,S. CA Bight
13,13.2,Compulsory,13.888639246239146,-121.13887,34.107373,1,10,transit,15.199815973265617,1261.857818514372,0.1152006759192089,9.489007430398697,1,S. CA Bight
14,14.2,Compulsory,13.870760931396388,-121.285357,34.330067,1,9.5,survey,35.382215567632905,1297.240034082005,0.2685104128304238,9.757517843229122,1,S. CA Bight
14,14.1,Compulsory,13.870760931396388,-120.669486,34.628111,1,10,transit,16.728510156244504,1313.9685442382495,0.12695019506353802,9.88446803829266,1,S. CA Bight
15,15.1,Compulsory,13.85288261655363,-120.709,34.905471,1,9.5,survey,44.38730602441407,1358.3558502626636,0.33728344720012543,10.221751485492785,1,Central CA
15,15.2,Compulsory,13.85288261655363,-121.481768,34.528696,1,10,transit,16.096841316015826,1374.4526915786794,0.12231420679401075,10.344065692286796,1,Central CA
16,16.2,Compulsory,13.835004301710873,-121.729329,34.702845,1,9.5,survey,52.566869138069954,1427.0195607167493,0.39995322917451914,10.744018921461315,1,Central CA
16,16.1,Compulsory,13.835004301710873,-120.811054,35.147926,1,10,transit,15.58924507295048,1442.6088057896998,0.11861023891194654,10.862629160373261,1,Central CA
17,17.1,Compulsory,13.817125986868115,-120.904142,35.396706,1,9.5,survey,49.021038442070946,1491.6298442317707,0.37345749865752687,11.23608665903079,1,Central CA
17,17.2,Compulsory,13.817125986868115,-121.762767,34.98102,1,10,transit,15.59474547937887,1507.2245897111495,0.11880561538515558,11.354892274415944,1,Central CA
18,18.2,Compulsory,13.799247672025357,-121.858039,35.229296,1,9.5,survey,40.506644067325695,1547.7312337784754,0.30899200967953866,11.663884284095483,1,Central CA
18,18.1,Compulsory,13.799247672025357,-121.146127,35.571975,1,10,transit,15.469495288886424,1563.2007290673616,0.11800410890856478,11.781888393004047,1,Central CA
19,19.1,Compulsory,13.7813693571826,-121.352528,35.767698,1,9.5,survey,37.99492555275467,1601.1956546201163,0.29020816030693913,12.072096553310987,1,Central CA
19,19.2,Compulsory,13.7813693571826,-122.021098,35.445028,1,10,transit,15.213412256876806,1616.4090668769932,0.1162012115783488,12.188297764889336,1,Central CA
20,20.2,Compulsory,13.763491042339842,-122.167079,35.669209,1,9.5,survey,37.24945718615263,1653.6585240631457,0.284883790109449,12.473181554998785,1,Central CA
20,20.1,Compulsory,13.763491042339842,-121.509728,35.985417,1,10,transit,15.357485626523243,1669.016009689669,0.11745402597334374,12.590635580972128,1,Central CA
21,21.1,Compulsory,13.745612727497086,-121.715838,36.179613,1,9.5,survey,35.004993988662335,1704.0210036783315,0.2680663483237698,12.858701929295899,1,Central CA
21,21.2,Compulsory,13.745612727497086,-122.335461,35.882871,1,10,transit,15.484299971642047,1719.5053036499735,0.11857793065447554,12.977279859950373,1,Central CA
22,22.2,Compulsory,13.727734412654328,-122.545534,36.076883,1,9.5,survey,35.171185323014534,1754.676488972988,0.26968980625009664,13.24696966620047,1,Central CA
22,22.1,Compulsory,13.727734412654328,-121.921032,36.374474,1,10,transit,20.373822007022333,1775.0503109800102,0.15622482038023228,13.403194486580702,1,Central CA
23,23.1,Compulsory,13.70985609781157,-121.836988,36.707668,1,9.5,survey,35.20415101597672,1810.254461995987,0.2702946026936372,13.673489089274339,1,Central CA
23,23.2,Compulsory,13.70985609781157,-122.464764,36.409837,1,10,transit,15.481448430099938,1825.735910426087,0.11886529945394277,13.792354388728283,1,Central CA
24,24.2,Compulsory,13.691977782968813,-122.665081,36.611356,1,9.5,survey,35.4763035648472,1861.212213990934,0.27273983370855376,14.065094222436835,1,Central CA
24,24.1,Compulsory,13.691977782968813,-122.029766,36.910064,1,10,transit,16.633504046258196,1877.8457180371925,0.12787744696328132,14.192971669400118,1,Central CA
25,25.1,Compulsory,13.674099468126055,-122.311355,37.071399,1,9.5,survey,34.201801957129774,1912.047519994322,0.26328532186633663,14.456256991266454,1,Central CA
25,25.2,Compulsory,13.674099468126055,-122.923252,36.780816,1,10,transit,15.216152488136103,1927.2636724824583,0.1171338752977907,14.573390866564244,1,Central CA
26,26.2,Compulsory,13.656221153283298,-123.092329,36.995378,1,9.5,survey,35.18078553346389,1962.444458015922,0.2711760845773599,14.844566951141605,1,Central CA
26,26.1,Compulsory,13.656221153283298,-122.461117,37.294278,1,10,transit,15.606101710502827,1978.050559726425,0.12029298076203343,14.964859931903638,1,Central CA
27,27.1,Compulsory,13.63834283844054,-122.556154,37.543419,1,9.5,survey,40.32003309596832,2018.3705928223933,0.3111971931178721,15.27605712502151,1,Central CA
27,27.2,Compulsory,13.63834283844054,-123.281614,37.200683,1,10,transit,15.311503322640394,2033.6820961450337,0.11817690836412321,15.394234033385633,1,Central CA
28,28.2,Compulsory,13.620464523597782,-123.412047,37.433987,1,9.5,survey,37.60989655958128,2071.291992704615,0.29066090022825375,15.684894933613887,1,Central CA
28,28.1,Compulsory,13.620464523597782,-122.733883,37.754398,1,10,transit,15.136965910298947,2086.428958614914,0.11698314913580989,15.801878082749697,1,Central CA
